CO,NO2,Ozone,SO2,AQI,AQI_Level
2.44,58.86,26.48,19.03,56.17695652,Moderate
3.19,65.87,26.23,18.22,63.64413043,Moderate
2.55,88.91,28.56,15.35,88.18673913,Moderate
1.87,77.93,9.85,13.34,76.49065217,Moderate
2.56,83.32,21.32,16.84,82.23217391,Moderate
2.14,81.69,28.84,15.35,80.49586957,Moderate
3.36,81.34,40.41,16.64,80.12304348,Moderate
3.56,88.06,82.67,16.2,141.845,Unhealthy for sensitive groups
2.65,90.19,54.87,13.26,89.55021739,Moderate
2.24,88.19,72.28,14,105.48,Unhealthy for sensitive groups
2.7,76.45,56.21,19.71,74.91413043,Moderate
2.99,82.44,44.82,15.7,81.29478261,Moderate
2.84,76.48,46.51,20.69,74.94608696,Moderate
3.58,97.42,78.14,19.47,125.99,Unhealthy for sensitive groups
3.03,89.75,69.31,21.07,97.746,Moderate
3.47,83.23,62.59,29.26,82.13630435,Moderate
3.75,95.79,64.28,28.77,95.51543478,Moderate
3.65,92.9,57.48,25.56,92.43695652,Moderate
3.5,78.02,46.22,24.26,76.58652174,Moderate
3.09,69.02,46.44,25.06,66.99956522,Moderate
2.6,68.2,43.58,27.59,66.12608696,Moderate
3.08,76.93,68.97,23.12,96.63533333,Moderate
1.83,83.32,55.02,22.05,82.23217391,Moderate
3.4,70.5,42.31,31.24,68.57608696,Moderate
3.67,91.51,51.37,32.24,90.95630435,Moderate
4.73,109.57,71.69,31.23,105.2417172,Unhealthy for sensitive groups
3.88,93.99,67.62,20,93.59804348,Moderate
4.5,143.37,50.7,34.93,121.9710101,Unhealthy for sensitive groups
4.4,113.41,47.86,30.09,107.1423232,Unhealthy for sensitive groups
3.74,112.11,58.29,75.49,106.4988889,Unhealthy for sensitive groups
4,112.84,49.49,35.46,106.860202,Unhealthy for sensitive groups
4.74,144.55,40.95,30.91,122.5550505,Unhealthy for sensitive groups
4.55,123.01,51.67,30.17,111.8938384,Unhealthy for sensitive groups
4.67,126.06,36.86,25.4,113.4034343,Unhealthy for sensitive groups
5.75,117.16,47.01,28.99,108.9983838,Unhealthy for sensitive groups
2.65,84.36,54.13,24.6,83.34,Moderate
2.75,103.79,60.05,30.7,102.3809091,Unhealthy for sensitive groups
3.51,120.34,60.45,33.87,110.5723232,Unhealthy for sensitive groups
4.9,126.68,65.17,37.67,113.710303,Unhealthy for sensitive groups
4.83,106.97,59.12,25.59,103.9548485,Unhealthy for sensitive groups
3.57,102.64,58.42,32.67,101.8117172,Unhealthy for sensitive groups
6.91,125.72,45.9,40.35,113.2351515,Unhealthy for sensitive groups
3.82,128.26,36.76,22.56,114.4923232,Unhealthy for sensitive groups
3.34,122.15,43.15,34.42,111.4681818,Unhealthy for sensitive groups
2.33,115.73,37.52,34.52,108.2906061,Unhealthy for sensitive groups
2.09,114.74,35.6,31.85,107.8006061,Unhealthy for sensitive groups
2.85,127.23,40.2,36.37,113.9825253,Unhealthy for sensitive groups
4.26,121.38,42.27,31.73,111.0870707,Unhealthy for sensitive groups
5.21,106.94,39.4,31.08,103.94,Unhealthy for sensitive groups
4.1,115,29.21,43.03,107.9292929,Unhealthy for sensitive groups
4.1,96.94,32,32.1,96.74043478,Moderate
4.1,121.34,32.53,35.61,111.0672727,Unhealthy for sensitive groups
1.69,84.68,41.86,33.51,83.68086957,Moderate
1.09,69.73,45.19,38.35,67.75586957,Moderate
1.39,82.32,39.79,35.43,81.16695652,Moderate
1.33,78.19,38.86,45.66,76.7676087,Moderate
3.63,130.93,37.32,38.77,115.8138384,Unhealthy for sensitive groups
5.23,112.54,11.39,28.12,106.7117172,Unhealthy for sensitive groups
3.84,69.98,16.31,24.56,68.02217391,Moderate
3.01,90.65,15.57,28.48,90.04021739,Moderate
2.25,105.8,12.29,32.34,103.3757576,Unhealthy for sensitive groups
3.76,103.91,2.2,28.73,102.440303,Unhealthy for sensitive groups
3.24,103.63,16.49,33.93,102.3017172,Unhealthy for sensitive groups
3.98,143.26,12.6,39.6,121.9165657,Unhealthy for sensitive groups
3.19,104.67,22.39,29.62,102.8164646,Unhealthy for sensitive groups
3.28,92.7,15.4,28.65,92.22391304,Moderate
4.27,78.59,25.24,33.08,77.19369565,Moderate
3.14,95.8,15.81,27.8,95.52608696,Moderate
2.35,74.93,27.91,29.52,73.295,Moderate
3.71,84.46,24.93,30.45,83.44652174,Moderate
4,89.46,21.89,29.52,88.7726087,Moderate
3.12,74.43,22.91,25.28,72.7623913,Moderate
2,79.5,29.03,26.45,78.16304348,Moderate
3.48,90.07,29.94,38.84,89.4223913,Moderate
3.81,97.28,30.34,32.2,97.1026087,Moderate
3.16,84.59,38.72,30.2,83.585,Moderate
3.29,91.92,20.69,33.46,91.39304348,Moderate
1.51,75.14,16.18,38.16,73.51869565,Moderate
1.46,61.45,25.12,33.79,58.93586957,Moderate
2.08,76.48,18.17,38.06,74.94608696,Moderate
5.41,102.1,25.75,30.5,101.5444444,Unhealthy for sensitive groups
2.52,72.38,24.14,24.93,70.57869565,Moderate
4.13,54.22,31.56,25.75,51.23434783,Moderate
2.95,61.34,32.16,23.86,58.81869565,Moderate
3.67,62.67,28.26,24.87,60.23543478,Moderate
1.77,40.76,13.86,23.16,38.45283019,Good
1.53,46.04,27.28,23.31,43.43396226,Good
2.03,63.92,23.99,25.9,61.56695652,Moderate
1.66,57.13,35.64,25.56,54.33413043,Moderate
1.75,66.96,35.4,26.64,64.80521739,Moderate
2.71,74.87,42.16,28.18,73.23108696,Moderate
2.72,82.72,41.52,34.79,81.59304348,Moderate
6.56,111.27,21.63,32.61,106.0831313,Unhealthy for sensitive groups
1.19,52.77,93.37,25.9,170.0068421,Unhealthy
2.21,69.9,25.6,29.51,67.93695652,Moderate
1.19,44.07,29.57,25.28,41.5754717,Good
2.06,81.06,20.63,27.64,79.82478261,Moderate
1.74,73.98,35.15,25.03,72.28304348,Moderate
1.36,60.84,40.3,24.61,58.28608696,Moderate
1.3,61.05,62.58,25.29,75.76133333,Moderate
2.82,92.48,33,27.08,91.98956522,Moderate
4.96,86.33,26.3,28.51,85.43847826,Moderate
1.66,64.54,17.66,27.01,62.2273913,Moderate
0.99,38.36,27.84,23.58,36.18867925,Good
1.28,44.75,24.37,24.86,42.21698113,Good
1.82,56.44,58.11,24.63,61.15933333,Moderate
2.88,70.83,29.69,27.44,68.9276087,Moderate
1.76,67.31,27.65,25.14,65.17804348,Moderate
3.84,78.69,33.35,28.27,77.30021739,Moderate
3.46,79.73,27.13,25.78,78.40804348,Moderate
3.71,70.18,25.63,25.01,68.23521739,Moderate
1.41,44.93,30.37,25.37,42.38679245,Good
2.68,51.64,29.32,25.57,48.71698113,Good
1.24,57.53,33.26,24.23,54.76021739,Moderate
1.58,64.66,36.27,24.39,62.35521739,Moderate
2.43,78.43,35.62,33.51,77.02326087,Moderate
1.53,83.98,36.74,26.56,82.93521739,Moderate
2.09,65.55,41.91,28.39,63.30326087,Moderate
1.34,51.19,118.29,25.69,213.9437234,Very Unhealthy
2.32,73.71,46.79,24.71,71.99543478,Moderate
1.85,97.44,46.67,25.27,97.27304348,Moderate
1.68,91.03,50.93,29,90.445,Moderate
1.76,92.21,46.22,29.56,91.70195652,Moderate
1.41,76.32,73.01,28.74,108.035,Unhealthy for sensitive groups
1.53,75.41,55.6,25.24,73.80630435,Moderate
2.05,84.56,36.24,25.6,83.55304348,Moderate
2.2,54.3,72,20,104.5,Unhealthy for sensitive groups
1.95,57.28,61.14,26.94,71.05733333,Moderate
2.14,64.95,70.2,25.42,62.66413043,Moderate
1.53,80.48,20.46,28.96,79.20695652,Moderate
0.96,24.12,181.59,24.3,280.6107447,Very Unhealthy
1.55,65.58,92.53,29.7,167.8405263,Unhealthy
3.77,97.32,24.28,32.36,97.14521739,Moderate
3.49,91.04,51.69,30.53,90.45565217,Moderate
2.55,81.27,12.47,31.3,80.04847826,Moderate
1.27,55.29,62.89,28.14,76.774,Moderate
1.43,52.44,71.91,28.08,104.185,Unhealthy for sensitive groups
1.4,53.18,79.9,31.76,132.15,Unhealthy for sensitive groups
1.37,42.52,88.78,34.73,158.1694737,Unhealthy
1.87,58.94,72.34,35.9,105.69,Unhealthy for sensitive groups
1.79,58.85,53.57,32.99,56.16630435,Moderate
1.25,45.47,19.81,29.57,42.89622642,Good
1,27.93,157.6,27.5,255.3446809,Very Unhealthy
1.22,28.31,71.11,27.1,101.385,Unhealthy for sensitive groups
1.28,29.9,89.48,26.26,159.9747368,Unhealthy
1.54,34.1,80.71,26.33,134.985,Unhealthy for sensitive groups
1.92,44.73,63.85,26.74,79.91,Moderate
2.13,38.59,43.57,30.34,43.34285714,Good
1.44,31.17,44.7,30.99,44.27142857,Good
1.74,39.44,77.33,28.09,123.155,Unhealthy for sensitive groups
2.3,50.17,73.88,27.56,111.08,Unhealthy for sensitive groups
1.96,50.19,75.67,30.48,117.345,Unhealthy for sensitive groups
1.58,46.46,84.94,33.81,149.79,Unhealthy for sensitive groups
3.11,56.87,22.27,32.39,54.05717391,Moderate
1.29,21.1,38.24,44.88,62.15692308,Moderate
3.12,30.46,46.67,45.23,62.59666667,Moderate
3.79,37.83,64.51,42.53,82.066,Moderate
3.84,43.03,58.66,40.7,62.956,Moderate
2.42,43.9,84.11,57.32,146.885,Unhealthy for sensitive groups
2.54,38.9,83.24,39.5,143.84,Unhealthy for sensitive groups
1.58,45.52,68.44,44.08,94.904,Moderate
1.78,31.17,18.64,44.6,61.80512821,Moderate
3.11,44.71,23.07,45.2,62.55897436,Moderate
2.58,33.99,66.27,43.29,87.81533333,Moderate
0.74,25.6,139.85,33.12,236.6505319,Very Unhealthy
1.17,29.69,98.22,43.57,182.5147368,Unhealthy
1.16,27.14,93.87,31.86,171.2963158,Unhealthy
1.17,29.78,81.76,34.34,138.66,Unhealthy for sensitive groups
1.07,26.42,80.81,33.43,135.335,Unhealthy for sensitive groups
1.25,33.19,94.2,42.07,172.1473684,Unhealthy
1.73,32.64,67.29,47.92,91.14733333,Moderate
1.1,32.76,79.53,51.42,130.855,Unhealthy for sensitive groups
2.84,51.99,99.99,40.8,187.0794737,Unhealthy
2.97,60.66,43.19,59.09,80.01051282,Moderate
1.09,28.37,85.15,34.5,49.28571429,Good
1.7,43.61,113.2,46.84,208.5829787,Very Unhealthy
3.06,48.58,112.76,46.31,208.1195745,Very Unhealthy
3.33,54.67,99.05,51.59,184.6552632,Unhealthy
2.64,50.61,137.04,56.55,233.6910638,Very Unhealthy
1.84,39.07,75.95,37.53,118.325,Unhealthy for sensitive groups
1.09,23.75,100.47,44.49,188.3173684,Unhealthy
1.11,26.96,102.02,45.24,192.3147368,Unhealthy
1.87,39.81,101.57,47.71,191.1542105,Unhealthy
2.48,47.93,66.13,55.43,87.358,Moderate
1.83,39.27,82.32,47.25,140.62,Unhealthy for sensitive groups
2.77,34,57.59,39.09,59.46066667,Moderate
0.99,29.85,131.05,48.28,227.3824468,Very Unhealthy
1.4,39.44,72.81,48.54,107.335,Unhealthy for sensitive groups
1,26.66,84.2,31.97,147.2,Unhealthy for sensitive groups
1.94,41,67.15,37.47,90.69,Moderate
1.4,35.55,36.4,32.26,46.08571429,Good
1.88,48.33,91.07,44.41,164.0752632,Unhealthy
1.26,30,112.86,42.37,208.2248936,Very Unhealthy
0.98,19.38,97.79,35.99,181.4057895,Unhealthy
1.09,25.18,76.03,29.18,118.605,Unhealthy for sensitive groups
1.39,35.84,159.94,37.94,257.8091489,Very Unhealthy
2.29,56.31,68.18,37.07,94.05466667,Moderate
3.1,70.4,33.52,37.82,68.46956522,Moderate
2.72,85.55,75.11,34.32,115.385,Unhealthy for sensitive groups
3.39,92.42,102.7,31.07,194.0684211,Unhealthy
2.59,70.88,63.57,30.67,78.99533333,Moderate
0.92,42,52.02,21.42,48.16666667,Good
1.28,41.23,30.7,23.59,38.89622642,Good
1.15,28.14,14.37,25.29,36.12857143,Good
4.02,128,43.48,38.8,114.3636364,Unhealthy for sensitive groups
3.12,107.64,36.98,37.73,104.2864646,Unhealthy for sensitive groups
0.95,23.62,0.94,8.65,22.28301887,Good
0.28,13.38,32.83,11.23,30.39814815,Good
0.47,25.07,32.19,16.23,29.80555556,Good
0.05,2.87,5.45,1.64,5.046296296,Good
0.24,16.26,1.88,3.7,15.33962264,Good
3.04,102.8,27.92,28.83,101.8909091,Unhealthy for sensitive groups
0.58,36.13,24.49,15.67,34.08490566,Good
2.63,118.44,29.51,23.17,109.6319192,Unhealthy for sensitive groups
4.29,90.8,30.72,21.49,90.2,Moderate
3.94,83.53,39.55,27.45,82.45586957,Moderate
4.11,105.16,48.71,33.94,103.0589899,Unhealthy for sensitive groups
3.84,112.2,28.38,28.5,106.5434343,Unhealthy for sensitive groups
3.88,119.94,31.35,15.17,110.3743434,Unhealthy for sensitive groups
4.87,155.02,28.69,34.72,127.7371717,Unhealthy for sensitive groups
3.62,146.73,40.76,29.34,123.6340404,Unhealthy for sensitive groups
3.74,170.03,29.97,12.25,135.1663636,Unhealthy for sensitive groups
3.71,190.34,26.27,8.23,145.2187879,Unhealthy for sensitive groups
4.26,223.65,35.2,6.39,156.5771357,Unhealthy
4.58,144.9,30.15,6.12,122.7282828,Unhealthy for sensitive groups
2.83,122.61,23.59,23.63,111.6958586,Unhealthy for sensitive groups
3.22,101.99,20.72,16.08,101.49,Unhealthy for sensitive groups
3.74,104.37,22.78,33.36,102.6679798,Unhealthy for sensitive groups
2.24,92.06,19.15,40.57,91.54217391,Moderate
2.02,105.01,35.22,42.42,102.9847475,Unhealthy for sensitive groups
1.18,71.02,44.74,29.06,69.13,Moderate
2.01,99.85,35.32,32.09,99.84021739,Moderate
2.15,88.59,34.54,27.91,87.84586957,Moderate
2,93.75,34.86,35.36,93.3423913,Moderate
2.08,97.12,34.53,42.43,96.93217391,Moderate
2.31,106.26,35.71,46.55,103.6034343,Unhealthy for sensitive groups
2.27,113.82,38.32,51.07,107.3452525,Unhealthy for sensitive groups
3.99,115.07,55.05,45.97,107.9639394,Unhealthy for sensitive groups
3.35,111.03,36.2,44.5,105.9643434,Unhealthy for sensitive groups
3.08,114.77,30.82,43.12,107.8154545,Unhealthy for sensitive groups
3.79,132.77,17.17,34.59,116.7245455,Unhealthy for sensitive groups
4.61,127.36,25.6,27.38,114.0468687,Unhealthy for sensitive groups
3.09,122.75,25.56,32.64,111.7651515,Unhealthy for sensitive groups
3.32,130.29,21.36,34.69,115.4970707,Unhealthy for sensitive groups
3.85,148.95,21.53,34.57,124.7328283,Unhealthy for sensitive groups
3.6,148.02,14.19,26.57,124.2725253,Unhealthy for sensitive groups
4.19,152.21,22.91,37.33,126.3463636,Unhealthy for sensitive groups
2.33,110.66,23.71,43.39,105.7812121,Unhealthy for sensitive groups
1.9,95.95,27.42,49.24,95.68586957,Moderate
1.78,100.09,36.34,47.42,65.34820513,Moderate
3.07,125.57,33.47,49.99,113.1609091,Unhealthy for sensitive groups
3.55,144.53,25.01,46.19,122.5451515,Unhealthy for sensitive groups
4.16,138.51,19.76,36.43,119.5655556,Unhealthy for sensitive groups
2.92,81.42,16.18,16.26,80.20826087,Moderate
2.42,63.57,27.51,15.15,61.19413043,Moderate
1.19,56.74,20.66,16.65,53.91869565,Moderate
0.37,73.85,57.95,36.48,72.14456522,Moderate
1.19,89.3,23.8,55.34,88.60217391,Moderate
2.33,96.02,14.02,57.66,95.76043478,Moderate
2.74,91.44,25.78,42.27,90.88173913,Moderate
5.2,79.07,23.34,43.04,77.705,Moderate
0.75,66.75,26.02,43.95,64.58152174,Moderate
3.05,73.84,27.22,33.88,72.13391304,Moderate
2.08,78.44,25.46,31.18,77.03391304,Moderate
2.41,73.46,26.4,40.05,71.72913043,Moderate
2.87,77.48,21.01,40.18,76.01130435,Moderate
3.59,86.72,22.7,40.45,85.85391304,Moderate
2.49,93.42,35.62,52.96,92.99086957,Moderate
2.01,92.53,32.72,33.24,92.04282609,Moderate
3.32,72.2,24.54,19.24,70.38695652,Moderate
3.19,99.61,20.41,23.39,99.58456522,Moderate
2.64,82.47,20.08,18.45,81.32673913,Moderate
2.28,72.63,22.04,23.85,70.845,Moderate
2.1,89.36,20.47,15.43,88.66608696,Moderate
2.21,76.9,14.73,16.53,75.39347826,Moderate
2.76,71.96,28.99,14.35,70.13130435,Moderate
2.01,76.53,33.09,24.58,74.99934783,Moderate
1.44,80.5,32.43,37.08,79.22826087,Moderate
2.41,83.58,34.17,38.61,82.50913043,Moderate
1.53,84.52,37.43,52.59,83.51043478,Moderate
1.22,72.24,37.07,53.27,72.69820513,Moderate
1.31,97.2,31.18,64.69,97.0173913,Moderate
3.11,95.95,30.3,34.92,95.68586957,Moderate
2.16,90.24,34.34,43.42,89.60347826,Moderate
2.42,85.92,29.91,46.93,85.00173913,Moderate
1.06,68.41,50.63,45.21,66.34978261,Moderate
2.26,86.21,20.8,24.76,85.31065217,Moderate
2.8,70.44,15.07,26,68.51217391,Moderate
2.35,93.02,37.48,33.86,92.56478261,Moderate
1.88,83.9,11.56,42.15,82.85,Moderate
0.63,50.58,67.31,31.7,91.21266667,Moderate
2.62,86.34,25.64,38.17,85.44913043,Moderate
3.03,106.92,25.72,15.27,103.930101,Unhealthy for sensitive groups
2.22,65.87,34.63,12.81,63.64413043,Moderate
2.11,24.5,5.3,29.97,42.81428571,Good
2.49,43.34,55.01,26.7,51.03266667,Moderate
2.63,109.11,49.76,39.5,105.0140404,Unhealthy for sensitive groups
1.88,85.39,51.52,34.91,84.43717391,Moderate
3.55,114.72,25.71,23.06,107.7907071,Unhealthy for sensitive groups
0.21,151.45,45.07,15.68,125.970202,Unhealthy for sensitive groups
2.75,118.84,38.95,18.49,109.829899,Unhealthy for sensitive groups
2.28,94.14,34.07,16.81,93.75782609,Moderate
0.51,48.65,44.28,14.22,45.89622642,Good
0.62,56.98,34.5,8.49,54.17434783,Moderate
0.42,49.34,51.47,12.07,47.65740741,Good
0.46,48.72,61.05,16.08,70.76333333,Moderate
0.8,63.34,49.86,22.55,60.94913043,Moderate
1.2,77.42,47.1,35.09,75.9473913,Moderate
1.48,77.09,48.29,28.54,75.59586957,Moderate
2.32,83.57,40.02,24.73,82.49847826,Moderate
2.09,99.93,48.33,26.57,99.92543478,Moderate
3.57,85.85,36.63,25.46,84.92717391,Moderate
3.1,93.67,35.56,32.05,93.25717391,Moderate
3.1,117.94,17.02,27.41,109.3844444,Unhealthy for sensitive groups
2.26,96.06,35.08,24.77,95.80304348,Moderate
1.4,79.48,14.93,21.49,78.14173913,Moderate
0.55,39.14,26.09,10.82,36.9245283,Good
0.54,58.55,38.78,6.77,55.84673913,Moderate
2.01,82.39,43.84,25.52,81.24152174,Moderate
1.68,98.76,40.65,30.64,98.67913043,Moderate
1.15,91.79,6.87,13.81,91.25456522,Moderate
1.54,80.72,41.19,19.61,79.4626087,Moderate
1.18,74.58,39.76,24.57,72.92217391,Moderate
1.28,72.2,42.72,21.72,70.38695652,Moderate
1.05,71.34,44.68,27.42,69.47086957,Moderate
1.07,82.91,45.86,21.02,81.79543478,Moderate
0.36,97.74,55.69,14.22,97.5926087,Moderate
0.72,84.33,50.11,32.55,83.30804348,Moderate
1.26,78.81,46.3,30.4,77.42804348,Moderate
1.01,66,57.23,32.15,63.7826087,Moderate
1.8,81.5,52.59,28.65,80.29347826,Moderate
1.51,81.3,58.78,37.08,80.08043478,Moderate
2.38,82.63,40.08,29.52,81.49717391,Moderate
1.84,84,28.69,31.01,82.95652174,Moderate
1.24,78.77,47.12,32.28,77.38543478,Moderate
1.26,70.63,29.6,33.24,68.71456522,Moderate
0.56,27.99,127.02,24.08,223.1380851,Very Unhealthy
1.1,81.26,51.68,33.07,80.03782609,Moderate
1.63,77.04,61.52,30.11,75.5426087,Moderate
1.92,95.71,45.1,58.73,95.43021739,Moderate
0.88,52.69,60.61,44.94,69.326,Moderate
0.71,43.42,69.08,30.68,96.99466667,Moderate
1,59.33,63.06,38.18,77.32933333,Moderate
0.91,49.67,79.21,38.05,129.735,Unhealthy for sensitive groups
0.98,62.66,73.31,37.6,109.085,Unhealthy for sensitive groups
1.51,85.22,54.66,51.55,84.25608696,Moderate
2.35,81.07,40.49,38.94,79.83543478,Moderate
0.87,58.24,70.89,38.87,55.51652174,Moderate
1.36,76.43,64.74,31.14,82.81733333,Moderate
1.7,89.54,66.39,32.14,88.85782609,Moderate
1.19,79.83,84.34,18.84,147.69,Unhealthy for sensitive groups
1.35,101.89,70.17,18.66,101.4405051,Unhealthy for sensitive groups
1.39,106.62,68.97,20.52,103.7816162,Unhealthy for sensitive groups
1.18,86.56,47.22,21.56,85.68347826,Moderate
2.94,113.11,54.36,38.29,106.9938384,Unhealthy for sensitive groups
1.44,97.28,45.12,38.46,97.1026087,Moderate
0.75,51.36,67.83,11.1,92.91133333,Moderate
0.86,56.61,72.82,14.29,107.37,Unhealthy for sensitive groups
0.84,54.75,54.45,15.46,51.79891304,Moderate
1.74,73.68,64.88,27.9,83.27466667,Moderate
0.78,79.57,33.71,14.46,78.2376087,Moderate
0.22,36.53,15.22,6.38,34.46226415,Good
0.11,174.43,22.44,41.18,137.3441414,Unhealthy for sensitive groups
0.44,115.77,18.72,49.62,108.310404,Unhealthy for sensitive groups
0.42,79.62,17.92,26.01,78.29086957,Moderate
0.25,55.56,11.24,21.78,52.66173913,Moderate
2.57,81.84,46.52,27.16,80.65565217,Moderate
1.63,81.23,36.57,14.45,80.00586957,Moderate
1.5,44.82,61.58,16.31,72.49466667,Moderate
1.09,53.83,72.25,29.72,105.375,Unhealthy for sensitive groups
1.63,62.93,71.67,19.27,103.345,Unhealthy for sensitive groups
1.85,85.9,60.4,28.28,84.98043478,Moderate
2.24,95.81,48.62,23.97,95.53673913,Moderate
2.81,102.94,42.57,33.98,101.960202,Unhealthy for sensitive groups
2.34,99.81,56.55,31.27,99.7976087,Moderate
1.45,57.28,88.28,17.34,156.88,Unhealthy
1.73,64.21,67.42,26.35,91.572,Moderate
1.77,68.85,59.58,15.87,66.81847826,Moderate
1.01,48.63,86.83,22,153.1405263,Unhealthy
1.27,51.1,86.45,7.33,152.1605263,Unhealthy
1.38,52.65,46.78,13.93,49.66981132,Good
1.46,39.39,82.34,15.63,140.69,Unhealthy for sensitive groups
2.01,66.79,63.91,17.24,80.106,Moderate
2.84,94.04,45.95,20.67,93.65130435,Moderate
2.01,76.57,54.58,20.67,75.04195652,Moderate
1.85,53.76,76.8,10.47,121.3,Unhealthy for sensitive groups
2.01,89.66,46.1,13.36,88.98565217,Moderate
1.15,68.24,57.45,10.74,66.16869565,Moderate
1.48,108.62,57,22.71,104.7715152,Unhealthy for sensitive groups
2.84,130.41,66.2,23.18,115.5564646,Unhealthy for sensitive groups
2.82,59.36,85.08,4.1,56.70956522,Moderate
1.12,36.63,86.37,8.56,151.9542105,Unhealthy
0.91,56.98,78.15,20.54,126.025,Unhealthy for sensitive groups
1.11,76.07,60,18.48,74.50934783,Moderate
0.63,73.74,36.25,18.67,72.0273913,Moderate
1.13,81.81,59.63,33.24,80.62369565,Moderate
1.86,86.47,44.94,28.69,85.5876087,Moderate
0.86,63.69,63.41,26.76,78.47266667,Moderate
1.31,85.74,62.54,34.63,84.81,Moderate
1.19,97.02,59.42,37.01,96.82565217,Moderate
2.32,126.22,33.74,46.73,113.4826263,Unhealthy for sensitive groups
1.88,119.43,43.04,39.72,110.1219192,Unhealthy for sensitive groups
2.2,105.25,53.93,32.58,103.1035354,Unhealthy for sensitive groups
1.67,94.56,55.51,41.56,94.20521739,Moderate
3.18,111.61,12.45,35.45,106.2514141,Unhealthy for sensitive groups
0.97,66.3,123.71,32.11,219.6520213,Very Unhealthy
2.27,92.16,61.81,31.47,91.64869565,Moderate
0.94,56.71,79.07,25.54,129.245,Unhealthy for sensitive groups
0.92,71.01,66.8,22.87,89.54666667,Moderate
0.95,71.94,63.84,28.07,79.87733333,Moderate
0.7,49.47,84.42,26.45,147.97,Unhealthy for sensitive groups
0.77,40.36,101.97,23,192.1857895,Unhealthy
0.84,50.59,73.98,20.43,111.43,Unhealthy for sensitive groups
0.8,44.24,73.32,20.43,109.12,Unhealthy for sensitive groups
0.91,58.53,59.55,21.19,65.86333333,Moderate
0.22,66.45,10.02,8.91,64.26195652,Moderate
0.97,53.63,62.65,19.96,75.99,Moderate
0.71,35.06,51.94,16.07,48.09259259,Good
1.02,60.34,62.84,21.03,76.61066667,Moderate
1.01,66.02,31.01,13.44,63.80391304,Moderate
0.67,61.27,27.38,18.18,58.74413043,Moderate
0.58,36.87,17.46,18.6,34.78301887,Good
0.51,25.06,18.54,20.2,28.85714286,Good
0.59,25.28,21.03,18.48,26.4,Good
0.8,28.37,20.14,20.83,29.75714286,Good
0.71,32.21,26.36,19.15,30.38679245,Good
0.61,44.46,26.67,16.31,41.94339623,Good
0.52,41.87,43.32,20.92,40.11111111,Good
0.45,75.37,30.21,17.42,73.76369565,Moderate
0.88,81.16,33.66,22.58,79.93130435,Moderate
0.76,89.33,52.07,20.87,88.63413043,Moderate
0.47,112.59,30.82,27.44,106.7364646,Unhealthy for sensitive groups
1,109.36,41.91,27.17,105.1377778,Unhealthy for sensitive groups
0.9,96.75,34.75,22.25,96.53804348,Moderate
0.54,65.85,26.18,19.84,63.62282609,Moderate
0.89,64.45,21.76,15.84,62.13152174,Moderate
0.74,57.43,19.74,15.4,54.65369565,Moderate
0.84,68.83,20.54,16.43,66.79717391,Moderate
1.13,64.83,21.88,15.17,62.53630435,Moderate
0.54,36.75,25.85,15.67,34.66981132,Good
0.78,57.94,28.8,17.48,55.19695652,Moderate
0.78,56.88,26.17,16.83,54.06782609,Moderate
0.86,79.58,24.66,15.26,78.24826087,Moderate
0.97,100.48,21.22,16.81,24.01428571,Good
0.91,56.32,36.74,17.6,53.47130435,Moderate
1.13,95.86,43.23,15.99,95.59,Moderate
1,75.66,45.48,16.95,74.0726087,Moderate
0.73,47.16,32.86,16.05,44.49056604,Good
0.87,36.42,26.78,14.69,34.35849057,Good
0.74,35.43,24.31,14.87,33.4245283,Good
0.97,44.35,12.08,15.26,41.83962264,Good
0.72,31.56,17.13,15.47,29.77358491,Good
0.86,37.42,15.01,16.68,35.30188679,Good
1.37,39.87,13.95,16.64,37.61320755,Good
0.79,46.57,14,15.45,43.93396226,Good
0.69,36.71,16.54,16.09,34.63207547,Good
0.82,42.26,13.15,15,39.86792453,Good
1.2,57.03,22.93,16.99,54.2276087,Moderate
0.8,38.85,16.89,15.04,36.6509434,Good
0.98,55.98,15.75,15.75,53.10913043,Moderate
0.72,7.09,13.6,17.47,24.95714286,Good
1.05,25.46,13.65,14.74,24.01886792,Good
1.07,6.6,17.93,15.28,21.82857143,Good
0.92,4.73,23.57,14.62,21.82407407,Good
0.76,4.52,25.69,14.76,23.78703704,Good
1.03,5.89,21.52,15.77,22.52857143,Good
0.76,9.5,26.38,16.1,24.42592593,Good
0.99,18.69,21.42,16.26,23.22857143,Good
0.7,20.11,20.25,14.83,21.18571429,Good
0.77,31.28,22.22,16.04,29.50943396,Good
0.87,23.91,17.33,14.33,22.55660377,Good
0.92,8.68,15.13,14.58,20.82857143,Good
1.06,10.64,23.38,14.68,21.64814815,Good
1.11,10.64,19.23,14.99,21.41428571,Good
1.32,13.65,29.08,16.71,26.92592593,Good
1.31,16.12,29.42,15.96,27.24074074,Good
1.68,11.38,24.16,13.22,22.37037037,Good
1.07,10.54,22.64,16.06,22.94285714,Good
1.13,50.6,23.77,14.89,47.73584906,Good
1.19,68.74,34.27,15.03,66.70130435,Moderate
1.83,56.87,32.5,15.46,54.05717391,Moderate
1.07,51.01,30.43,15.77,48.12264151,Good
1.18,37.85,28.18,14.45,35.70754717,Good
0.75,17.88,27.66,13.74,25.61111111,Good
1.09,29.24,22.65,14.85,27.58490566,Good
